"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)"
"52","1966","1","Andhra Pradesh","Ananthapur","63.0","109.0","1730.16","160.6","78.4","488.17","2.0","1.0","500.0","29.0","5.0","172.41","168.0","110.0","654.76","0.0","0.0","0.0"
"52","1967","1","Andhra Pradesh","Ananthapur","47.0","73.0","1553.19","151.4","64.1","423.38","3.0","1.0","333.33","22.0","10.0","454.55","225.0","143.0","635.56","0.0","0.0","0.0"
"52","1968","1","Andhra Pradesh","Ananthapur","47.3","62.0","1310.78","164.1","60.0","365.63","2.6","1.0","384.62","21.4","9.0","420.56","205.5","152.0","739.66","0.0","0.0","0.0"
"52","1969","1","Andhra Pradesh","Ananthapur","64.2","100.2","1560.75","138.0","47.4","343.48","1.8","0.4","222.22","20.8","2.5","120.19","236.2","132.3","560.12","0.0","0.0","0.0"
"52","1970","1","Andhra Pradesh","Ananthapur","71.6","112.3","1568.44","149.0","49.4","331.54","1.7","0.7","411.76","22.7","6.6","290.75","275.5","145.9","529.58","0.0","0.0","0.0"
"52","1971","1","Andhra Pradesh","Ananthapur","64.5","119.0","1844.96","130.2","51.4","394.78","2.2","0.6","272.73","19.6","2.8","142.86","264.9","201.7","761.42","0.0","0.0","0.0"
"52","1972","1","Andhra Pradesh","Ananthapur","87.6","155.0","1769.41","153.9","54.2","352.18","2.7","0.4","148.15","20.7","3.8","183.57","225.0","151.1","671.56","0.0","0.0","0.0"
"52","1973","1","Andhra Pradesh","Ananthapur","102.7","165.3","1609.54","156.6","58.4","372.92","2.2","0.6","272.73","24.6","2.2","89.43","277.7","236.7","852.36","0.0","0.0","0.0"
"52","1974","1","Andhra Pradesh","Ananthapur","98.4","176.3","1791.67","149.9","91.6","611.07","2.5","0.6","240.0","20.3","3.2","157.64","300.3","251.6","837.83","0.0","0.0","0.0"
"52","1975","1","Andhra Pradesh","Ananthapur","112.1","161.8","1443.35","119.3","74.9","627.83","1.8","0.8","444.44","22.4","1.8","80.36","324.4","234.8","723.8","0.0","0.0","0.0"
"52","1976","1","Andhra Pradesh","Ananthapur","64.5","79.2","1227.91","78.0","31.2","400.0","1.3","0.5","384.62","15.8","0.5","31.65","323.0","89.4","276.78","0.0","0.0","0.0"
"52","1977","1","Andhra Pradesh","Ananthapur","76.0","141.4","1860.53","124.5","89.8","721.29","1.7","0.7","411.76","23.1","2.8","121.21","294.3","274.6","933.06","0.0","0.0","0.0"
"52","1978","1","Andhra Pradesh","Ananthapur","60.8","112.0","1842.11","110.4","78.2","708.33","2.4","1.0","416.67","21.0","3.1","147.62","335.1","267.5","798.27","0.0","0.0","0.0"
"52","1979","1","Andhra Pradesh","Ananthapur","65.0","108.0","1661.54","111.4","62.4","560.14","2.6","1.2","461.54","18.2","2.5","137.36","364.9","265.6","727.87","0.0","0.0","0.0"
"52","1980","1","Andhra Pradesh","Ananthapur","52.0","98.0","1884.62","83.9","30.5","363.53","1.9","0.9","473.68","17.7","0.9","50.85","323.4","123.5","381.88","0.0","0.0","0.0"
"52","1981","1","Andhra Pradesh","Ananthapur","80.0","151.0","1887.5","105.5","78.5","744.08","1.9","0.9","473.68","20.4","1.9","93.14","391.4","367.3","938.43","0.2","0.1","500.0"
"52","1982","1","Andhra Pradesh","Ananthapur","58.5","114.5","1957.26","104.7","94.5","902.58","2.5","1.6","640.0","18.1","2.2","121.55","395.7","261.0","659.59","0.0","0.0","0.0"
"52","1983","1","Andhra Pradesh","Ananthapur","61.2","117.2","1915.03","90.9","72.1","793.18","2.2","1.5","681.82","20.8","3.7","177.88","451.2","527.8","1169.77","0.0","0.0","0.0"
"52","1984","1","Andhra Pradesh","Ananthapur","44.0","78.6","1786.36","69.4","73.5","1059.08","3.4","0.9","264.71","19.2","2.4","125.0","473.4","291.2","615.12","0.0","0.0","0.0"
"52","1985","1","Andhra Pradesh","Ananthapur","31.5","68.8","2184.13","60.3","52.9","877.28","3.2","0.4","125.0","22.6","3.1","137.17","486.6","320.9","659.47","0.0","0.0","0.0"
"52","1986","1","Andhra Pradesh","Ananthapur","41.0","73.0","1780.49","83.2","43.3","520.43","4.0","1.0","250.0","23.0","4.0","173.91","442.0","417.0","943.44","0.1","0.1","1000.0"
"52","1987","1","Andhra Pradesh","Ananthapur","43.0","88.0","2046.51","79.1","58.5","739.57","5.0","3.0","600.0","25.0","3.0","120.0","542.0","520.0","959.41","6.4","0.6","93.75"
"52","1988","1","Andhra Pradesh","Ananthapur","66.1","145.8","2205.75","51.6","60.3","1168.6","11.3","6.8","601.77","31.6","3.3","104.43","717.3","703.2","980.34","3.4","2.8","823.53"
"52","1989","1","Andhra Pradesh","Ananthapur","79.7","179.1","2247.18","37.9","43.68","1152.51","9.0","3.1","344.44","29.1","4.3","147.77","739.2","509.4","689.12","4.1","3.6","878.05"
"52","1990","1","Andhra Pradesh","Ananthapur","46.0","104.03","2261.52","25.53","29.15","1141.79","7.46","7.32","981.23","26.85","1.91","71.14","741.46","492.22","663.85","13.99","13.32","952.11"
"52","1991","1","Andhra Pradesh","Ananthapur","59.57","150.71","2529.96","39.11","41.62","1064.18","6.34","3.54","558.36","24.43","6.72","275.07","720.59","496.5","689.02","27.16","19.72","726.07"
"52","1992","1","Andhra Pradesh","Ananthapur","46.69","91.65","1962.95","43.12","58.04","1346.01","6.0","3.18","530.0","26.39","6.1","231.15","742.75","504.83","679.68","26.49","26.71","1008.3"
"52","1993","1","Andhra Pradesh","Ananthapur","49.0","107.0","2183.67","49.0","44.0","897.96","13.0","10.0","769.23","24.0","6.0","250.0","731.0","739.0","1010.94","32.0","15.0","468.75"
"52","1994","1","Andhra Pradesh","Ananthapur","36.0","72.0","2000.0","39.0","23.0","589.74","34.0","27.0","794.12","23.0","5.0","217.39","687.0","427.0","621.54","43.0","27.0","627.91"
"52","1995","1","Andhra Pradesh","Ananthapur","41.0","89.0","2170.73","32.0","24.0","750.0","21.0","8.0","380.95","26.0","7.0","269.23","745.0","988.0","1326.17","35.0","26.0","742.86"
"52","1996","1","Andhra Pradesh","Ananthapur","68.0","168.0","2470.59","37.0","30.0","810.81","13.0","7.0","538.46","25.0","9.0","360.0","759.0","555.0","731.23","41.0","29.0","707.32"
"52","1997","1","Andhra Pradesh","Ananthapur","54.0","112.0","2074.07","29.0","21.0","724.14","28.0","15.0","535.71","21.0","3.0","142.86","670.0","250.0","373.13","66.0","22.0","333.33"
"52","1998","1","Andhra Pradesh","Ananthapur","65.0","161.0","2476.92","19.0","28.0","1473.68","26.0","26.0","1000.0","27.0","9.0","333.33","781.0","904.0","1157.49","35.0","15.0","428.57"
"52","1999","1","Andhra Pradesh","Ananthapur","58.25","150.75","2587.98","32.62","45.16","1384.43","26.84","9.37","349.11","23.22","3.88","167.1","716.65","274.82","383.48","53.57","38.81","724.47"
"52","2000","1","Andhra Pradesh","Ananthapur","62.0","174.92","2821.29","20.31","31.33","1542.59","33.88","22.7","670.01","30.73","7.9","257.08","814.61","908.8","1115.63","30.61","24.59","803.33"
"52","2001","1","Andhra Pradesh","Ananthapur","71.0","204.52","2880.56","19.07","24.17","1267.44","47.91","50.16","1046.96","27.95","7.63","272.99","777.47","363.02","466.92","51.61","33.58","650.65"
"52","2002","1","Andhra Pradesh","Ananthapur","40.0","86.0","2150.0","16.0","16.0","1000.0","54.0","20.0","370.37","33.0","7.0","212.12","750.0","279.0","372.0","60.0","22.0","366.67"
"52","2003","1","Andhra Pradesh","Ananthapur","28.34","70.35","2482.36","33.88","50.27","1483.77","51.46","15.44","300.04","41.18","6.96","169.01","686.0","207.68","302.74","74.53","29.57","396.75"
"52","2004","1","Andhra Pradesh","Ananthapur","33.58","106.67","3176.59","16.17","19.96","1234.38","42.11","9.52","226.07","32.75","7.89","240.92","872.32","706.28","809.66","56.82","34.21","602.08"
"52","2005","1","Andhra Pradesh","Ananthapur","48.15","125.56","2607.68","16.69","13.85","829.84","49.11","48.17","980.86","35.01","23.7","676.95","899.04","391.97","435.99","48.68","8.4","172.56"
"52","2006","1","Andhra Pradesh","Ananthapur","33.2","99.4","2993.98","42.99","23.25","540.82","83.53","30.74","368.01","26.24","3.54","134.91","662.11","62.14","93.85","60.75","23.56","387.82"
"52","2007","1","Andhra Pradesh","Ananthapur","44.49","132.52","2978.65","15.65","10.51","671.57","74.85","78.22","1045.02","36.58","17.08","466.92","896.83","1130.13","1260.14","44.44","29.23","657.74"
"52","2008","1","Andhra Pradesh","Ananthapur","48.72","144.43","2964.49","14.28","9.16","641.46","73.06","68.38","935.94","34.07","13.15","385.97","870.46","100.01","114.89","42.27","26.31","622.43"
"52","2009","1","Andhra Pradesh","Ananthapur","51.65","148.41","2873.38","59.13","40.16","679.18","92.94","107.25","1153.97","20.59","6.01","291.89","530.38","141.98","267.69","55.29","33.5","605.9"
"52","2010","1","Andhra Pradesh","Ananthapur","59.8","171.4","2866.22","15.88","10.37","653.02","94.24","73.6","780.98","66.01","11.16","169.07","834.07","481.0","576.69","17.62","14.07","798.52"
"52","2011","1","Andhra Pradesh","Ananthapur","48.67","120.07","2467.02","15.1","11.42","756.29","68.48","38.01","555.05","51.75","4.29","82.9","753.84","207.38","275.1","13.28","12.09","910.39"
"52","2012","1","Andhra Pradesh","Ananthapur","29.05","76.45","2631.67","13.39","10.07","752.05","89.68","77.3","861.95","56.59","8.04","142.07","729.7","329.95","452.17","10.58","7.1","671.08"
"52","2013","1","Andhra Pradesh","Ananthapur","40.4","87.94","2176.73","21.09","12.89","611.19","85.77","68.61","799.93","49.93","9.29","186.06","728.45","312.93","429.58","14.02","9.58","683.31"
"52","2014","1","Andhra Pradesh","Ananthapur","29.21","82.53","2825.4","18.45","5.6","303.52","68.09","38.68","568.07","37.56","4.85","129.13","565.75","173.39","306.48","8.45","2.82","333.73"
"52","2015","1","Andhra Pradesh","Ananthapur","33.62","97.65","2904.52","30.84","14.99","486.06","75.8","34.19","451.06","38.51","8.32","216.05","468.18","352.1","752.06","5.33","2.91","545.97"
"52","2016","1","Andhra Pradesh","Ananthapur","22.89","57.43","2509.33","7.09","1.2","168.55","22.87","5.92","258.98","70.26","6.96","99.0","623.73","164.51","263.75","3.87","1.48","383.14"
"52","2017","1","Andhra Pradesh","Ananthapur","30.91","86.36","2793.52","22.91","11.78","514.34","74.4","50.59","680.0","72.81","14.13","194.0","423.12","454.94","1075.19","1.95","0.99","504.87"
